fornecedor_id,cnpj,razao_social,cidade,estado,lead_time_dias,score_confiabilidade,vigencia_inicio,vigencia_fim,registro_ativo,versao
FORN-00001,96.187.523/0001-68,Rodrigues,Pereira,PR,27,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00002,05.978.634/0001-37,Jesus Costa Ltda.,Fernandes,SC,14,Alto,2026-06-07,2026-06-07 00:00:00,False,1
FORN-00002,05.978.634/0001-37,Jesus Costa Ltda.,Fernandes,SC,10,Médio,2026-06-07,9999-12-31 00:00:00,True,2
FORN-00003,46.130.275/0001-40,Peixoto Ltda.,Barbosa de Costela,MG,7,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00004,95.074.361/0001-99,Moraes Costa - EI,Souza Alegre,RJ,26,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00005,38.704.526/0001-25,Vieira,Freitas do Galho,SC,16,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00006,02.736.589/0001-16,da Cunha S.A.,Alves,RS,18,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00007,03.491.578/0001-86,Souza Silveira - ME,Dias,GO,30,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00008,63.974.852/0001-08,Jesus,Araújo de Ribeiro,PR,26,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00009,29.378.401/0001-61,Vieira Ltda.,Peixoto,GO,20,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00010,84.601.759/0001-10,Souza,da Cunha de Minas,BA,6,Baixo,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00011,38.470.216/0001-93,Cardoso,Costa de Pinto,RS,17,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00012,17.952.863/0001-61,da Costa Araújo S.A.,Martins de Barros,RS,25,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00013,47.208.395/0001-86,Dias,Monteiro de Mendes,MG,18,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00014,07.519.823/0001-77,Peixoto da Cunha e Filhos,Porto da Mata,PE,14,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00015,92.731.460/0001-08,Rezende - EI,Souza de Sales,PR,7,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00016,59.703.416/0001-19,Viana - EI,Cardoso,MG,17,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00017,25.079.643/0001-01,Cardoso Dias S.A.,Gomes,CE,19,Alto,2026-06-07,2026-06-07 00:00:00,False,1
FORN-00017,25.079.643/0001-01,Cardoso Dias S.A.,Gomes,CE,23,Alto,2026-06-07,9999-12-31 00:00:00,True,2
FORN-00018,13.754.082/0001-01,da Costa,Nogueira do Campo,SP,18,Alto,2026-06-07,2026-06-07 00:00:00,False,1
FORN-00018,13.754.082/0001-01,da Costa,Nogueira do Campo,SP,8,Médio,2026-06-07,9999-12-31 00:00:00,True,2
FORN-00019,96.321.754/0001-12,Aragão Pinto - EI,Martins de da Luz,PE,16,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00020,09.782.536/0001-80,Viana,Peixoto de Rezende,RS,26,Alto,2026-06-07,2026-06-07 00:00:00,False,1
FORN-00020,09.782.536/0001-80,Viana,Peixoto de Rezende,RS,8,Alto,2026-06-07,9999-12-31 00:00:00,True,2
FORN-00021,02.496.153/0001-05,da Conceição da Rocha S.A.,Jesus Paulista,BA,28,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00022,93.478.501/0001-69,Caldeira,Castro Grande,BA,26,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00023,82.541.096/0001-60,Mendes e Filhos,Monteiro,GO,20,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00024,97.654.138/0001-46,Santos Barros Ltda.,Pinto Paulista,MG,5,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00025,93.846.572/0001-77,Rocha S/A,da Luz,GO,27,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00026,25.360.879/0001-03,Costa S/A,Oliveira,PE,18,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00027,31.479.068/0001-29,Cardoso,Teixeira,GO,6,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00028,03.857.126/0001-75,Ferreira e Filhos,Rezende Verde,SC,22,Baixo,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00029,50.289.146/0001-77,Rodrigues,Silva,CE,24,Alto,2026-06-07,2026-06-07 00:00:00,False,1
FORN-00029,50.289.146/0001-77,Rodrigues,Silva,CE,9,Alto,2026-06-07,9999-12-31 00:00:00,True,2
FORN-00030,74.592.683/0001-50,Caldeira,Alves,SP,11,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00031,62.087.145/0001-29,Freitas Nogueira S/A,da Costa de Barbosa,PR,25,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00032,27.586.903/0001-52,Mendes Melo e Filhos,Barros das Pedras,CE,19,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00033,92.560.438/0001-42,Cavalcanti Ltda.,da Rocha do Oeste,RS,30,Baixo,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00034,89.532.417/0001-09,Castro,Freitas,PE,10,Baixo,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00035,61.358.049/0001-05,Jesus Freitas - EI,Pereira,RS,30,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00036,29.583.041/0001-30,Rezende,Nunes,PE,12,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00037,42.703.685/0001-82,Jesus - EI,Santos,GO,23,Baixo,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00038,98.746.512/0001-04,Caldeira,Nogueira,RJ,6,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00039,90.562.847/0001-52,Peixoto,Alves de Cavalcanti,GO,12,Baixo,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00040,35.689.710/0001-55,Azevedo Ltda.,Mendes da Serra,CE,12,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00041,92.064.587/0001-10,da Luz,Costela,MG,28,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00042,72.586.491/0001-05,da Rocha Santos S.A.,Moura do Galho,RJ,12,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00043,48.520.679/0001-76,Rezende Fernandes - ME,Aragão dos Dourados,PR,5,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00044,27.514.869/0001-00,Azevedo,da Mata,BA,8,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00045,50.731.942/0001-18,Almeida Barbosa Ltda.,Porto do Campo,PR,20,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00046,79.183.042/0001-65,da Luz,Cardoso,BA,22,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00047,02.614.895/0001-80,Azevedo S/A,Melo,SC,25,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00048,68.190.432/0001-46,da Conceição Ltda.,Rocha,SC,27,Alto,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00049,60.528.314/0001-93,Martins Aragão - ME,Gonçalves,PE,18,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00050,21.384.069/0001-36,Peixoto,Gomes,RS,27,Médio,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00051,28.976.314/0001-43,Pereira,das Neves,RJ,26,Baixo,2026-06-07,9999-12-31 00:00:00,True,1
FORN-00052,73.421.586/0001-31,Silva,Carvalho,SP,9,Alto,2026-06-07,9999-12-31 00:00:00,True,1
