sku,descricao,categoria,unidade,peso_kg,volume_m3,fornecedor_id,custo_unitario,consumo_medio_dia,lead_time,estoque_minimo,ponto_reposicao,estoque_maximo,criticidade,controla_validade,endereco_wms,vigencia_inicio,vigencia_fim,registro_ativo,versao,curva_abc
SKU-000001,Pintura Mollitia,Pintura,GL,27.98,0.631,FORN-00026,433.38,19.22,22,422,480,1267,Alta,True,E-03-08-038,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000002,EPI Quis,EPI,CX,32.11,0.206,FORN-00022,47.45,21.71,26,564,629,1801,Baixa,True,V-22-05-040,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000003,Construção Aperiam,Construção,KG,46.96,1.485,FORN-00014,86.54,11.44,18,205,240,754,Baixa,True,Q-08-04-116,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000004,EPI Temporibus,EPI,PR,14.54,1.824,FORN-00016,100.37,12.0,17,204,240,648,Alta,True,E-06-07-103,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000005,Fixação Facilis,Fixação,MIL,8.97,1.001,FORN-00041,7.32,303.88,31,9420,10331,27652,Baixa,False,D-08-08-029,2026-06-07,9999-12-31 00:00:00,True,1,B
SKU-000006,Pintura Impedit,Pintura,LT,5.36,1.535,FORN-00050,728.67,9.59,30,287,316,584,Baixa,True,K-19-06-058,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000007,Fixação Cupiditate,Fixação,MIL,10.54,0.4,FORN-00021,23.34,322.3,31,9991,10958,20949,Média,False,M-06-02-065,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000008,Fixação Nesciunt,Fixação,MIL,26.53,0.703,FORN-00022,17.68,358.03,27,9666,10740,26851,Média,False,H-10-08-036,2026-06-07,9999-12-31 00:00:00,True,1,A
SKU-000009,Ferramentas Tempora,Ferramentas,CJ,11.34,0.343,FORN-00036,1191.49,0.48,16,7,9,31,Baixa,False,O-05-01-159,2026-06-07,9999-12-31 00:00:00,True,1,C
SKU-000010,Ferramentas Explicabo,Ferramentas,CJ,40.76,0.307,FORN-00017,191.49,0.74,19,14,16,39,Média,False,S-15-01-154,2026-06-07,9999-12-31 00:00:00,True,1,C
