backorder_id,pedido_id,sku,data,qtd_pendente,dias_em_aberto,status
BO-ED602E76,PED-C3BFBA88,SKU-000042,2026-04-11,189,0,Pendente
BO-C5AE6580,PED-1D231DCB,SKU-000135,2026-04-14,80,0,Pendente
BO-A5E86FDA,PED-A2BF2F41,SKU-000116,2026-04-15,1822,0,Pendente
BO-FA5C9D83,PED-EAD5892A,SKU-000160,2026-04-15,295,0,Pendente
BO-CA19DEE4,PED-A3EA909B,SKU-000085,2026-04-15,19,0,Pendente
BO-4BDC447E,PED-0BF8D64F,SKU-000087,2026-04-16,164,0,Pendente
BO-897C1457,PED-267DDF36,SKU-000174,2026-04-17,304,0,Pendente
BO-0BD92DA8,PED-6B2F3A50,SKU-000042,2026-04-18,297,0,Pendente
BO-ED2DC08B,PED-7E738936,SKU-000145,2026-04-19,123,0,Pendente
BO-BEB77777,PED-E85EC4CD,SKU-000046,2026-04-19,107,0,Pendente
BO-B39AA1C0,PED-CEADE24C,SKU-000027,2026-04-21,179,0,Pendente
BO-634C2970,PED-0F27CB72,SKU-000115,2026-04-22,97,0,Pendente
BO-06F509FD,PED-EA2BD665,SKU-000175,2026-04-22,2757,0,Pendente
BO-48208E4F,PED-989155C6,SKU-000178,2026-04-22,58,0,Pendente
BO-62E40521,PED-C7200B11,SKU-000107,2026-04-23,19,0,Pendente
BO-A8909D6C,PED-2F38B0A1,SKU-000122,2026-04-23,1778,0,Pendente
BO-3C53E8C5,PED-ABE1D196,SKU-000083,2026-04-23,472,0,Pendente
BO-5987A7D7,PED-691CA47A,SKU-000106,2026-04-23,82,0,Pendente
BO-9732F0BC,PED-79225797,SKU-000198,2026-04-23,22,0,Pendente
BO-281D05D6,PED-0D8B1AAA,SKU-000143,2026-04-23,211,0,Pendente
BO-7D47C72A,PED-E84B66FA,SKU-000043,2026-04-24,661,0,Pendente
BO-F06B50A7,PED-8B14C420,SKU-000075,2026-04-24,118,0,Pendente
BO-BD3C483F,PED-4CD3687F,SKU-000034,2026-04-24,88,0,Pendente
BO-11790E96,PED-84EC0040,SKU-000020,2026-04-24,228,0,Pendente
BO-67D1F286,PED-48BABC63,SKU-000192,2026-04-25,270,0,Pendente
BO-49054DA1,PED-0F3A8701,SKU-000182,2026-04-26,95,0,Pendente
BO-CABDD0FB,PED-8A9991DF,SKU-000037,2026-04-26,254,0,Pendente
BO-AC989EFC,PED-AC266D90,SKU-000063,2026-04-26,279,0,Pendente
BO-DB5C0806,PED-79C23756,SKU-000065,2026-04-26,14,0,Pendente
BO-39608978,PED-F7F3AD2A,SKU-000085,2026-04-26,178,0,Pendente
BO-9D6E234A,PED-86C6ADEA,SKU-000081,2026-04-27,430,0,Pendente
BO-7B718DB9,PED-EEAA75C6,SKU-000060,2026-04-27,59,0,Pendente
BO-F9F0A8E3,PED-8EDF1C53,SKU-000116,2026-04-27,1625,0,Pendente
BO-2502EB62,PED-EB44CDE5,SKU-000160,2026-04-27,556,0,Pendente
BO-DFE79E40,PED-014C2524,SKU-000174,2026-04-27,168,0,Pendente
BO-F0817D9C,PED-85F1FCA9,SKU-000123,2026-04-27,107,0,Pendente
BO-9A55BB4E,PED-DC109C79,SKU-000048,2026-04-28,151,0,Pendente
BO-50EA8430,PED-15B64961,SKU-000066,2026-04-28,31,0,Pendente
BO-F828066E,PED-8902A453,SKU-000025,2026-04-28,42,0,Pendente
BO-96C5427B,PED-7375FDBA,SKU-000017,2026-04-28,449,0,Pendente
BO-114D3374,PED-44E17B83,SKU-000004,2026-04-28,34,0,Pendente
BO-88B490BC,PED-2800487D,SKU-000172,2026-04-28,86,0,Pendente
BO-9A138755,PED-5AFE87DB,SKU-000164,2026-04-28,6116,0,Pendente
BO-15A44BA6,PED-723E27E1,SKU-000132,2026-04-28,302,0,Pendente
BO-3689FFD2,PED-6202166F,SKU-000061,2026-04-28,261,0,Pendente
BO-58202530,PED-B0C844EC,SKU-000181,2026-04-29,674,0,Pendente
BO-91D161A5,PED-64855FB3,SKU-000072,2026-04-29,1428,0,Pendente
BO-D105892B,PED-133669B3,SKU-000032,2026-04-29,29,0,Pendente
BO-30AA3F9B,PED-3E82C7BE,SKU-000165,2026-04-29,167,0,Pendente
BO-777FC5B9,PED-07163BF4,SKU-000177,2026-04-29,139,0,Pendente
BO-C7EF6112,PED-A55ED075,SKU-000187,2026-04-29,146,0,Pendente
BO-A07420F7,PED-17600D98,SKU-000087,2026-04-29,22,0,Pendente
BO-82CAF849,PED-4A3404F2,SKU-000191,2026-04-30,116,0,Pendente
