id_transacao,data_hora,sku,deposito,lote_id,tipo_movimentacao,motivo_movimentacao,quantidade,custo_unitario_mov,valor_total_mov,saldo_apos_movimento
856c128e-4066-4af2-a221-8d2e78d2cd0c,2026-03-10 14:31:23.643018,SKU-000001,DEP-001,LOT-35CD1C02,Saída,Consumo,21,433.38,9100.98,1237
5d3d514c-21ec-4764-8d17-b593fab8d08c,2026-03-10 14:31:23.643018,SKU-000002,DEP-001,LOT-372ECCE2,Saída,Consumo,17,47.45,806.65,1624
1c416b16-9005-4770-bba9-fcde708ed8ee,2026-03-10 14:31:23.643018,SKU-000002,DEP-001,LOT-247410B8,Saída,Consumo,4,47.45,189.8,1624
0f684c90-5176-48e5-a478-cf0545ab4350,2026-03-10 14:31:23.643018,SKU-000003,DEP-001,LOT-BD4C95D3,Saída,Consumo,11,86.54,951.94,676
92ec2dcd-8089-4fe1-b025-22709d310388,2026-03-10 14:31:23.643018,SKU-000004,DEP-001,LOT-1B251D46,Saída,Consumo,9,100.37,903.33,607
7ed621ab-eb3a-42b7-beaa-d8febcc294b7,2026-03-10 14:31:23.643018,SKU-000005,DEP-001,LOT-0CFD2C85,Saída,Consumo,381,7.32,2788.92,24539
2a09e5d1-de18-4117-a617-05f19cdfc775,2026-03-10 14:31:23.643018,SKU-000006,DEP-001,LOT-E9D1D3EE,Saída,Consumo,11,728.67,8015.37,562
6afb6e7d-87a8-4e97-bac3-fe3b9e6cf646,2026-03-10 14:31:23.643018,SKU-000007,DEP-001,LOT-53AE8974,Saída,Consumo,330,23.34,7702.2,19601
b590e6ab-f972-449c-b909-218cf0fcb3cf,2026-03-10 14:31:23.643018,SKU-000008,DEP-001,LOT-D0476909,Saída,Consumo,388,17.68,6859.84,25045
2a858af3-a8ec-40e5-98ab-d2edc52616f9,2026-03-10 14:31:23.643018,SKU-000011,DEP-001,LOT-FE792A04,Saída,Consumo,36,118.06,4250.16,2043
9f071581-6ba8-415b-ba65-efc8ecfc807a,2026-03-10 14:31:23.643018,SKU-000012,DEP-001,LOT-761F65BC,Saída,Consumo,2,194.58,389.16,118
ffeff152-ee06-450b-9f95-01c4bc85bb60,2026-03-10 14:31:23.643018,SKU-000013,DEP-001,LOT-A67FE128,Saída,Consumo,45,225.06,10127.7,2220
e9ad1bc3-1d36-40cd-be33-df869b4eaff0,2026-03-10 14:31:23.643018,SKU-000014,DEP-001,LOT-8F748AD5,Saída,Consumo,14,67.48,944.72,1054
cb54aa0c-7454-42ca-9b03-0e36040a6678,2026-03-10 14:31:23.643018,SKU-000015,DEP-001,LOT-4F451481,Saída,Consumo,15,109.37,1640.55,1135
91bf51bc-5616-46a8-867c-6383aa5e0b87,2026-03-10 14:31:23.643018,SKU-000016,DEP-001,LOT-F4870F9C,Saída,Consumo,1,1581.89,1581.89,88
7198140c-dc31-4852-97eb-f5b6b69ece79,2026-03-10 14:31:23.643018,SKU-000017,DEP-001,LOT-0A27C757,Saída,Consumo,71,6.76,479.96,2917
22723f4d-fdb0-4763-829f-05d3452f4936,2026-03-10 14:31:23.643018,SKU-000019,DEP-001,LOT-FDCF18F6,Saída,Consumo,82,48.88,4008.16,3882
43728cb2-1c80-4d45-9665-ae6b35529d05,2026-03-10 14:31:23.643018,SKU-000020,DEP-001,LOT-F4CF1B1D,Saída,Consumo,17,517.7,8800.9,645
6b36fc72-afee-4e61-8b4b-893a5e97bcfe,2026-03-10 14:31:23.643018,SKU-000022,DEP-001,LOT-85D6E86F,Saída,Consumo,18,93.1,1675.8,1428
947e96a5-28ff-4eaf-8704-8e5685693db3,2026-03-10 14:31:23.643018,SKU-000023,DEP-001,LOT-2EF3E5E5,Saída,Consumo,2,716.21,1432.42,163
9459dd0c-1065-44f4-bdea-614a94115f5c,2026-03-10 14:31:23.643018,SKU-000024,DEP-001,LOT-33B6DB42,Saída,Consumo,1,344.24,344.24,96
d3cb2948-a161-4c49-9ca6-910a4bcc6013,2026-03-10 14:31:23.643018,SKU-000025,DEP-001,LOT-DA135A48,Saída,Consumo,4,577.32,2309.28,141
6bc74ba9-7402-405b-8254-0c444cfc3d46,2026-03-10 14:31:23.643018,SKU-000026,DEP-001,LOT-23693DFD,Saída,Consumo,33,258.36,8525.88,2126
71893247-0fc7-44b7-80a2-729f92319ec6,2026-03-10 14:31:23.643018,SKU-000027,DEP-001,LOT-0C85A21C,Saída,Consumo,92,479.81,44142.52,3348
ea8e3df7-1971-4b2b-9f22-38855a893c13,2026-03-10 14:31:23.643018,SKU-000028,DEP-001,LOT-1EF0E003,Saída,Consumo,23,247.66,5696.18,1313
ec04cbb2-5a89-4b18-9b8c-9c33fd3d2612,2026-03-10 14:31:23.643018,SKU-000029,DEP-001,LOT-73883C04,Saída,Consumo,10,30.91,309.1,655
79f27392-645d-4581-8ce2-79af72379529,2026-03-10 14:31:23.643018,SKU-000030,DEP-001,LOT-49E63371,Saída,Consumo,1,2995.01,2995.01,53
0fbca58d-374c-406b-b317-26698fadf3fd,2026-03-10 14:31:23.643018,SKU-000031,DEP-001,LOT-BADB0D6E,Saída,Consumo,1,1056.09,1056.09,114
62d71cf8-c32b-4807-896f-bcaf03285cf6,2026-03-10 14:31:23.643018,SKU-000032,DEP-001,LOT-5F3F457C,Saída,Consumo,94,63.91,6007.54,3932
032a51b4-9c82-4b58-8583-ac3c9177c8c0,2026-03-10 14:31:23.643018,SKU-000033,DEP-001,LOT-291D8986,Saída,Consumo,15,189.25,2838.75,627
a15e7b2a-f445-473e-94b4-11e0fc5a0173,2026-03-10 14:31:23.643018,SKU-000034,DEP-001,LOT-3482128F,Saída,Consumo,25,233.59,5839.75,1361
5d312f88-7b7a-485b-a1f9-2ac830218467,2026-03-10 14:31:23.643018,SKU-000035,DEP-001,LOT-5D1098B7,Saída,Consumo,225,26.24,5904.0,20532
b8363309-24d1-4109-a412-b04a65536dae,2026-03-10 14:31:23.643018,SKU-000036,DEP-001,LOT-B67B21F1,Saída,Consumo,37,26.7,987.9,1869
e4665b64-b162-4e93-b13b-cf50b97fae85,2026-03-10 14:31:23.643018,SKU-000037,DEP-001,LOT-52BDD3E0,Saída,Consumo,1,120.15,120.15,1271
2b40bc30-7200-4493-9488-66d8173b200e,2026-03-10 14:31:23.643018,SKU-000037,DEP-001,LOT-259C1A74,Saída,Consumo,1,120.15,120.15,1271
346957f1-0232-4f40-ad73-6e19455a1c88,2026-03-10 14:31:23.643018,SKU-000037,DEP-001,LOT-B1B7F0E2,Saída,Consumo,31,120.15,3724.65,1271
612e2f95-aa8c-45bf-a88c-c51858f6dda8,2026-03-10 14:31:23.643018,SKU-000039,DEP-001,LOT-062963A1,Saída,Consumo,1,1338.77,1338.77,55
8da78b6c-cbaf-4c0a-9587-063b8aadad92,2026-03-10 14:31:23.643018,SKU-000040,DEP-001,LOT-D48E1B2A,Saída,Consumo,16,111.06,1776.96,955
861b5bcf-c610-4428-b2b0-11125beb574f,2026-03-10 14:31:23.643018,SKU-000041,DEP-001,LOT-C511A7A6,Saída,Consumo,97,22.42,2174.74,7545
11da2b38-089a-433d-95ec-247f09d9edf4,2026-03-10 14:31:23.643018,SKU-000042,DEP-001,LOT-72990147,Saída,Consumo,48,196.86,9449.28,1411
eb2fe10f-ed02-4d21-99ad-ee6f85f4d41f,2026-03-10 14:31:23.643018,SKU-000043,DEP-001,LOT-C7447853,Saída,Consumo,116,457.57,53078.12,4297
473184d0-1851-4627-b9c0-70de044ed830,2026-03-10 14:31:23.643018,SKU-000044,DEP-001,LOT-55DB4C9C,Saída,Consumo,12,85.75,1029.0,827
471ab0e2-84f5-48bf-869c-947c25cb30f5,2026-03-10 14:31:23.643018,SKU-000044,DEP-001,LOT-925CF298,Saída,Consumo,3,85.75,257.25,827
bf3e10ec-5909-400e-a560-17f76767f881,2026-03-10 14:31:23.643018,SKU-000045,DEP-001,LOT-A40731C9,Saída,Consumo,188,45.49,8552.12,10528
fab3b7e8-5590-4309-b95d-32deba9e498d,2026-03-10 14:31:23.643018,SKU-000046,DEP-001,LOT-231CCA70,Saída,Consumo,8,448.99,3591.92,353
ac0a6a3d-7612-4f75-b150-e9da5d5e06a5,2026-03-10 14:31:23.643018,SKU-000047,DEP-001,LOT-FF5C653B,Saída,Consumo,31,211.02,6541.62,1726
031e8f7c-b0ed-46ae-9add-22e105ce6283,2026-03-10 14:31:23.643018,SKU-000048,DEP-001,LOT-3B91ABE7,Saída,Consumo,18,206.18,3711.24,1089
7f6def04-3d2b-45b4-83e3-494244c9e28b,2026-03-10 14:31:23.643018,SKU-000049,DEP-001,LOT-D51F08A2,Saída,Consumo,19,177.83,3378.77,1340
bffa459d-096e-44c5-bcb5-0b5c6ab206d9,2026-03-10 14:31:23.643018,SKU-000050,DEP-001,LOT-30A4411B,Saída,Consumo,67,480.78,32212.26,3138
d5d0af69-3060-4128-97bd-d11f0090205d,2026-03-10 14:31:23.643018,SKU-000051,DEP-001,LOT-4B71BA41,Saída,Consumo,8,56.57,452.56,1467
b9a46e18-ab66-435a-87e5-9bef900ab00f,2026-03-10 14:31:23.643018,SKU-000051,DEP-001,LOT-50D44EB5,Saída,Consumo,7,56.57,395.99,1467
f22e8e37-0a1e-4b50-b67f-2636ad432775,2026-03-10 14:31:23.643018,SKU-000053,DEP-001,LOT-30B68CD7,Saída,Consumo,38,176.87,6721.06,2159
41da7c1d-fdfc-4042-b608-775d8d14dcd6,2026-03-10 14:31:23.643018,SKU-000054,DEP-001,LOT-C4A909BA,Saída,Consumo,108,224.96,24295.68,5656
4d4662ab-dfb7-4b09-b2b3-ac370a57bd7b,2026-03-10 14:31:23.643018,SKU-000055,DEP-001,LOT-5A0619B8,Saída,Consumo,34,165.93,5641.62,2353
76299150-2cc5-473e-b46d-6b4df3aa96f0,2026-03-10 14:31:23.643018,SKU-000056,DEP-001,LOT-89932B6F,Saída,Consumo,27,203.1,5483.7,1882
16a38958-d3e2-4439-81e2-6ec071d76df4,2026-03-10 14:31:23.643018,SKU-000057,DEP-001,LOT-92D786C7,Saída,Consumo,57,2.13,121.41,3463
20c27ffa-4cb8-424a-b429-3b3305cb03e7,2026-03-10 14:31:23.643018,SKU-000058,DEP-001,LOT-AAD56AD2,Saída,Consumo,38,176.74,6716.12,1945
26cb9c13-13d1-47d0-ad8d-fda977a22957,2026-03-10 14:31:23.643018,SKU-000059,DEP-001,LOT-CB18094D,Saída,Consumo,96,228.14,21901.44,5784
84411cc5-b701-452e-937d-160f53626cf7,2026-03-10 14:31:23.643018,SKU-000060,DEP-001,LOT-78216BC3,Saída,Consumo,16,33.02,528.32,1052
090e005d-e10e-4d4c-bdd4-a8c8d3c433d8,2026-03-10 14:31:23.643018,SKU-000061,DEP-001,LOT-3A3847BA,Saída,Consumo,28,439.73,12312.44,1370
30274061-6162-4876-87ab-7a39ad066a2c,2026-03-10 14:31:23.643018,SKU-000062,DEP-001,LOT-CAD31633,Saída,Consumo,22,113.61,2499.42,1626
0e0cb883-ef6c-4e8a-8f65-70225d889ba2,2026-03-10 14:31:23.643018,SKU-000063,DEP-001,LOT-0B498EB4,Saída,Consumo,22,138.86,3054.92,1394
926120a0-aa4d-4a1d-95e3-98f63793fd72,2026-03-10 14:31:23.643018,SKU-000064,DEP-001,LOT-42D2E308,Saída,Consumo,39,288.18,11239.02,3524
fc413131-3344-4762-8086-cdf5bea434eb,2026-03-10 14:31:23.643018,SKU-000065,DEP-001,LOT-64DEE79B,Saída,Consumo,9,152.72,1374.48,573
b46d8aa5-1053-4540-9585-8bde4bfc95fd,2026-03-10 14:31:23.643018,SKU-000066,DEP-001,LOT-64F17E2C,Saída,Consumo,18,244.2,4395.6,857
8af48d0a-392a-4111-951e-97e60800ec27,2026-03-10 14:31:23.643018,SKU-000067,DEP-001,LOT-FD3693F2,Saída,Consumo,270,24.39,6585.3,18312
70a1cbab-6bf8-479d-a28c-1664122c21bd,2026-03-10 14:31:23.643018,SKU-000068,DEP-001,LOT-D01CDDBF,Saída,Consumo,434,37.41,16235.94,23134
b61e06b8-15ba-442f-9197-daf9130fb31d,2026-03-10 14:31:23.643018,SKU-000069,DEP-001,LOT-81EF1A0B,Saída,Consumo,27,113.71,3070.17,1464
477eba29-a4b6-4fd6-9c11-04ecaa3d6be0,2026-03-10 14:31:23.643018,SKU-000070,DEP-001,LOT-458968CA,Saída,Consumo,40,44.92,1796.8,3016
59ddd1ee-15b3-43ae-b8ee-e3173e204545,2026-03-10 14:31:23.643018,SKU-000071,DEP-001,LOT-C3FF5DD9,Saída,Consumo,11,78.87,867.57,896
91b6293b-4a52-4525-a2b9-ddab55ad412f,2026-03-10 14:31:23.643018,SKU-000072,DEP-001,LOT-291AD82A,Saída,Consumo,375,5.67,2126.25,19850
61a0caa0-f164-4e15-bdcf-237f46d896cd,2026-03-10 14:31:23.643018,SKU-000073,DEP-001,LOT-92F25B00,Saída,Consumo,35,107.07,3747.45,1514
b5e2e146-3adb-4c19-92e1-de4f977437f6,2026-03-10 14:31:23.643018,SKU-000074,DEP-001,LOT-F1A0578E,Saída,Consumo,369,24.46,9025.74,22942
9f2df2d4-aba4-48ac-a3c2-e7f887bfe556,2026-03-10 14:31:23.643018,SKU-000075,DEP-001,LOT-157D388D,Saída,Consumo,28,121.72,3408.16,1090
77632912-6476-4e9e-b2dd-da17347d6b7a,2026-03-10 14:31:23.643018,SKU-000076,DEP-001,LOT-E4F06C85,Saída,Consumo,6,492.48,2954.88,406
c3aaa7a0-38b2-476f-b4ee-8d8fb06d6afc,2026-03-10 14:31:23.643018,SKU-000077,DEP-001,LOT-0F86C629,Saída,Consumo,62,288.29,17873.98,3555
d6e94502-b1dd-48a2-882c-58a022b33678,2026-03-10 14:31:23.643018,SKU-000078,DEP-001,LOT-CAAC9113,Saída,Consumo,334,5.67,1893.78,20217
d50262a8-60f1-4980-b1fa-1b100f87c6ba,2026-03-10 14:31:23.643018,SKU-000079,DEP-001,LOT-1EA1535D,Saída,Consumo,175,33.47,5857.25,12598
d3dc607a-bde1-4254-920d-fa851d623a66,2026-03-10 14:31:23.643018,SKU-000080,DEP-001,LOT-DEA900F7,Saída,Consumo,16,169.84,2717.44,779
3d19ccfd-7802-4ceb-8a50-7e65c9c379af,2026-03-10 14:31:23.643018,SKU-000081,DEP-001,LOT-299BB736,Saída,Consumo,163,7.74,1261.62,8589
1e84907b-fb06-442e-b516-4e577d76bfaa,2026-03-10 14:31:23.643018,SKU-000082,DEP-001,LOT-FFAF95D2,Saída,Consumo,125,13.0,1625.0,11870
7db1ee55-c206-4cf4-8032-55f25c928f3e,2026-03-10 14:31:23.643018,SKU-000083,DEP-001,LOT-FC430F0C,Saída,Consumo,51,207.45,10579.95,1673
01ace83c-ded3-448d-b1c9-4f1e6961df18,2026-03-10 14:31:23.643018,SKU-000084,DEP-001,LOT-16F90A7B,Saída,Consumo,184,25.16,4629.44,14684
956ef5a4-45bc-47ac-a228-a59434e85085,2026-03-10 14:31:23.643018,SKU-000085,DEP-001,LOT-47631025,Saída,Consumo,10,105.72,1057.2,496
c166df8b-288a-40cd-aa5a-8c614be8174c,2026-03-10 14:31:23.643018,SKU-000086,DEP-001,LOT-A8DE41CC,Saída,Consumo,1,32.32,32.32,130
7a91525e-6a25-49aa-8ae5-8f8fa1a86f16,2026-03-10 14:31:23.643018,SKU-000087,DEP-001,LOT-8BC50C15,Saída,Consumo,17,53.08,902.36,549
b04c242f-2dd8-41a7-a3e4-32972059cbcf,2026-03-10 14:31:23.643018,SKU-000088,DEP-001,LOT-663601FA,Saída,Consumo,15,181.56,2723.4,1065
9d421be4-f5a5-4b07-9f70-d32023d5213b,2026-03-10 14:31:23.643018,SKU-000090,DEP-001,LOT-32813DBC,Saída,Consumo,35,24.16,845.6,1528
7649f2e9-a556-46e2-b0c9-a6636d413319,2026-03-10 14:31:23.643018,SKU-000091,DEP-001,LOT-63F248BE,Saída,Consumo,22,100.69,2215.18,2326
59a7f48f-3e1b-4bf4-9724-6b5caf8abfd1,2026-03-10 14:31:23.643018,SKU-000091,DEP-001,LOT-8E186D6A,Saída,Consumo,27,100.69,2718.63,2326
244e47af-f5de-4820-81a3-38e4295eb495,2026-03-10 14:31:23.643018,SKU-000091,DEP-001,LOT-D1FC777D,Saída,Consumo,1,100.69,100.69,2326
74d279a0-4191-4275-a4ba-2e4909aa4e98,2026-03-10 14:31:23.643018,SKU-000092,DEP-001,LOT-E36EB004,Saída,Consumo,9,99.99,899.91,706
4d64a13a-1aae-454b-8722-491fa7e95a91,2026-03-10 14:31:23.643018,SKU-000093,DEP-001,LOT-1A460EB1,Saída,Consumo,8,434.39,3475.12,445
8d94902b-1300-4287-b816-e11ed25e6279,2026-03-10 14:31:23.643018,SKU-000095,DEP-001,LOT-CCCEA213,Saída,Consumo,8,252.16,2017.28,567
437c8a10-4a5c-4771-8c8f-c83fe79e3fe7,2026-03-10 14:31:23.643018,SKU-000096,DEP-001,LOT-37C93D3A,Saída,Consumo,6,135.04,810.24,449
4eda1304-cbce-4d3b-96f7-9a77465639f9,2026-03-10 14:31:23.643018,SKU-000097,DEP-001,LOT-47115CBF,Saída,Consumo,29,116.18,3369.22,2307
f2effade-a9ae-4be5-9845-a2861fc584bd,2026-03-10 14:31:23.643018,SKU-000098,DEP-001,LOT-83198F55,Saída,Consumo,37,260.02,9620.74,2319
87ab7381-be35-483d-b131-03489ee37bd2,2026-03-10 14:31:23.643018,SKU-000099,DEP-001,LOT-4BB33197,Saída,Consumo,14,541.27,7577.78,659
4121ab2b-2aca-44ef-b98c-a1c3b1b42adf,2026-03-10 14:31:23.643018,SKU-000100,DEP-001,LOT-43090282,Saída,Consumo,51,19.54,996.54,3571
cb49fd6a-1504-4f53-a16b-860ba536def4,2026-03-10 14:31:23.643018,SKU-000101,DEP-001,LOT-97B1E2A8,Saída,Consumo,11,118.59,1304.49,605
1617f8be-31c8-4391-84e7-2fa360f520ce,2026-03-10 14:31:23.643018,SKU-000102,DEP-001,LOT-BB63EC43,Saída,Consumo,5,143.16,715.8,293
1b2f89a8-7884-41f9-8cdc-e964f2ac3a88,2026-03-10 14:31:23.643018,SKU-000103,DEP-001,LOT-346DA4BD,Saída,Consumo,2,1060.63,2121.26,120
d15182dc-c1b4-46c2-bab2-05b5241da342,2026-03-10 14:31:23.643018,SKU-000104,DEP-001,LOT-20F12FBC,Saída,Consumo,45,137.86,6203.7,2649
