data,sku,deposito,demanda_nao_atendida,criticidade
2026-04-21,SKU-000027,DEP-001,2,Média
2026-04-22,SKU-000027,DEP-001,62,Média
2026-04-23,SKU-000027,DEP-001,87,Média
2026-04-23,SKU-000083,DEP-001,23,Média
2026-04-24,SKU-000017,DEP-001,47,Média
2026-04-24,SKU-000027,DEP-001,63,Média
2026-04-24,SKU-000047,DEP-001,4,Média
2026-04-25,SKU-000017,DEP-001,68,Média
2026-04-25,SKU-000027,DEP-001,65,Média
2026-04-25,SKU-000047,DEP-001,43,Média
2026-04-25,SKU-000063,DEP-001,5,Baixa
2026-04-26,SKU-000017,DEP-001,51,Média
2026-04-26,SKU-000027,DEP-001,103,Média
2026-04-26,SKU-000047,DEP-001,38,Média
2026-04-26,SKU-000063,DEP-001,24,Baixa
2026-04-27,SKU-000017,DEP-001,58,Média
2026-04-27,SKU-000027,DEP-001,99,Média
2026-04-27,SKU-000047,DEP-001,26,Média
2026-04-27,SKU-000187,DEP-001,22,Média
2026-04-28,SKU-000017,DEP-001,65,Média
2026-04-28,SKU-000025,DEP-001,2,Baixa
2026-04-28,SKU-000027,DEP-001,99,Média
2026-04-28,SKU-000032,DEP-001,25,Média
2026-04-28,SKU-000047,DEP-001,45,Média
2026-04-28,SKU-000187,DEP-001,46,Média
2026-04-29,SKU-000027,DEP-001,89,Média
2026-04-29,SKU-000032,DEP-001,90,Média
2026-04-29,SKU-000047,DEP-001,36,Média
2026-04-29,SKU-000187,DEP-001,40,Média
2026-04-30,SKU-000027,DEP-001,97,Média
2026-04-30,SKU-000047,DEP-001,42,Média
2026-05-01,SKU-000027,DEP-001,88,Média
2026-05-01,SKU-000081,DEP-001,78,Baixa
2026-05-01,SKU-000150,DEP-001,29,Média
2026-05-02,SKU-000027,DEP-001,102,Média
2026-05-02,SKU-000081,DEP-001,161,Baixa
2026-05-03,SKU-000027,DEP-001,82,Média
2026-05-03,SKU-000081,DEP-001,132,Baixa
2026-05-03,SKU-000090,DEP-001,6,Média
2026-05-03,SKU-000129,DEP-001,91,Baixa
2026-05-04,SKU-000019,DEP-001,14,Média
2026-05-04,SKU-000026,DEP-001,10,Média
2026-05-04,SKU-000027,DEP-001,65,Média
2026-05-04,SKU-000057,DEP-001,35,Média
2026-05-04,SKU-000070,DEP-001,22,Alta
2026-05-04,SKU-000081,DEP-001,125,Baixa
2026-05-04,SKU-000090,DEP-001,30,Média
2026-05-04,SKU-000129,DEP-001,214,Baixa
2026-05-04,SKU-000136,DEP-001,11,Média
2026-05-04,SKU-000149,DEP-001,5,Média
2026-05-05,SKU-000027,DEP-001,63,Média
2026-05-05,SKU-000039,DEP-001,1,Baixa
2026-05-05,SKU-000070,DEP-001,44,Alta
2026-05-05,SKU-000081,DEP-001,166,Baixa
2026-05-05,SKU-000090,DEP-001,36,Média
