data,deposito,sku,saldo_disponivel,saldo_quarentena,saldo_rejeitado,saldo_total
2026-03-10,DEP-001,SKU-000001,1237,0,0,1237
2026-03-10,DEP-001,SKU-000002,1624,0,0,1624
2026-03-10,DEP-001,SKU-000003,676,0,0,676
2026-03-10,DEP-001,SKU-000004,607,0,0,607
2026-03-10,DEP-001,SKU-000005,24539,0,0,24539
2026-03-10,DEP-001,SKU-000006,562,0,0,562
2026-03-10,DEP-001,SKU-000007,19601,0,0,19601
2026-03-10,DEP-001,SKU-000008,25045,0,0,25045
2026-03-10,DEP-001,SKU-000009,29,0,0,29
2026-03-10,DEP-001,SKU-000010,35,0,0,35
2026-03-10,DEP-001,SKU-000011,2043,0,0,2043
2026-03-10,DEP-001,SKU-000012,118,0,0,118
2026-03-10,DEP-001,SKU-000013,2220,0,0,2220
2026-03-10,DEP-001,SKU-000014,1054,0,0,1054
2026-03-10,DEP-001,SKU-000015,1135,0,0,1135
2026-03-10,DEP-001,SKU-000016,88,0,0,88
2026-03-10,DEP-001,SKU-000017,2917,0,0,2917
2026-03-10,DEP-001,SKU-000018,55,0,0,55
2026-03-10,DEP-001,SKU-000019,3882,0,0,3882
2026-03-10,DEP-001,SKU-000020,645,0,0,645
2026-03-10,DEP-001,SKU-000021,78,0,0,78
2026-03-10,DEP-001,SKU-000022,1428,0,0,1428
2026-03-10,DEP-001,SKU-000023,163,0,0,163
2026-03-10,DEP-001,SKU-000024,96,0,0,96
2026-03-10,DEP-001,SKU-000025,141,0,0,141
2026-03-10,DEP-001,SKU-000026,2126,0,0,2126
2026-03-10,DEP-001,SKU-000027,3348,0,0,3348
2026-03-10,DEP-001,SKU-000028,1313,0,0,1313
2026-03-10,DEP-001,SKU-000029,655,0,0,655
2026-03-10,DEP-001,SKU-000030,53,0,0,53
2026-03-10,DEP-001,SKU-000031,114,0,0,114
2026-03-10,DEP-001,,3932,0,0,3932
2026-03-10,DEP-001,SKU-000033,627,0,0,627
2026-03-10,DEP-001,SKU-000034,1361,0,0,1361
2026-03-10,DEP-001,SKU-000035,20532,0,0,20532
2026-03-10,DEP-001,SKU-000036,1869,0,0,1869
2026-03-10,DEP-001,SKU-000037,1271,0,0,1271
2026-03-10,DEP-001,SKU-000038,63,0,0,63
2026-03-10,DEP-001,SKU-000039,55,0,0,55
2026-03-10,DEP-001,SKU-000040,955,0,0,955
2026-03-10,DEP-001,SKU-000041,7545,0,0,7545
2026-03-10,DEP-001,SKU-000042,1411,0,0,1411
2026-03-10,DEP-001,SKU-000043,4297,0,0,4297
2026-03-10,DEP-001,SKU-000044,827,0,0,827
2026-03-10,DEP-001,SKU-000045,10528,0,0,10528
2026-03-10,DEP-001,SKU-000046,353,0,0,353
2026-03-10,DEP-001,SKU-000047,1726,0,0,1726
2026-03-10,DEP-001,SKU-000048,1089,0,0,1089
2026-03-10,DEP-001,SKU-000049,1340,0,0,1340
